provinsi,kalori,protein,putus_sd,putus_smp,putus_sma,putus_smk,jml_sklh_sd,jml_gr_sd,jml_sklh_smp,jml_gr_smp,jml_sklh_sma,jml_gr_sma,jml_sklh_smk,jml_gr_smk,keluarga_penerima,ipm_2024,aps_7_12,aps_13_15,aps_16_18,aps_19_23,penduduk_miskin,banjir,gempa_bumi,tanah_longsor,internet_kota,internet_desa,internet_kotadesa,lama_sekolah,kendaraan,pendapatan_pertanian,pendapatan_industri,pendapatan_jasa,penyelesaian_pendidikanSD2020,penyelesaian_pendidikanSMP2020,penyelesaian_pendidikanSMA2020,penyelesaian_pendidikanSD2021,penyelesaian_pendidikanSMP2021,penyelesaian_pendidikanSMA2021,penyelesaian_pendidikanSD2022,penyelesaian_pendidikanSMP2022,penyelesaian_pendidikanSMA2022,penyelesaian_pendidikanSD2023,penyelesaian_pendidikanSMP2023,penyelesaian_pendidikanSMA2023,penyelesaian_pendidikanSD2024,penyelesaian_pendidikanSMP2024,penyelesaian_pendidikanSMA2024,ketahanan_pangan,airminum_layak,pengeluaran_pangan_dan_nonpangan,murid_sd,murid_smp,murid_sma,total_murid
Aceh,1989.55,60.64,7820,3980,1930,1560,3543,49993,1328,24328,5430,14302,2240,7299,1932814,74.03,99.42,97.77,81.55,34.81,71896,1243.0,183.0,130.0,92.6,86.97,88.95,9.64,2770328,1631.7,2394.2,1366.3,98.33,90.92,70.07,99.44,93.43,74.36,99.45,97.63,70.67,99.08,94.55,74.46,98.74,95.82,73.99,73.94,90.08,1264733,494082,207964,141690,843736
Sumatera Utara,2041.63,62.11,3985,1445,9800,1999,9747,113295,2709,45871,1075,24662,9530,20961,3074198,74.02,99.5,97.35,78.59,30.22,111092,648.0,595.0,533.0,94.77,89.05,92.3,9.93,8137094,1719.7,2214.0,1601.0,96.48,91.63,70.39,98.57,91.35,72.81,98.74,92.84,77.16,98.75,94.35,74.43,98.62,95.66,73.49,77.49,92.94,1340957,1496473,625135,394193,2515801
Sumatera Barat,2032.94,57.79,7060,2460,2080,2180,4219,49301,8650,18146,3450,10893,2160,7153,1273639,74.49,99.71,96.8,84.4,42.75,31543,522.0,204.0,319.0,94.85,88.82,91.89,9.44,3083650,1543.5,2004.0,1335.1,93.26,87.12,67.11,95.29,89.49,70.06,97.87,88.83,65.96,95.81,90.65,68.64,96.72,92.93,68.48,84.32,86.85,1480853,585597,204214,157273,947084
Riau,2017.1,59.16,9550,2700,1250,1480,3837,54359,1309,21916,4810,12671,3100,8554,1052412,74.79,99.67,95.94,78.49,31.34,47304,639.0,,20.0,97.26,92.12,94.16,9.43,4766156,2037.5,2601.3,1751.5,95.18,86.84,66.62,96.91,87.11,68.94,98.2,88.53,66.91,98.09,90.52,67.79,97.31,90.13,67.17,70.42,92.24,1563165,772873,269138,179701,1221712
Jambi,2011.88,58.73,7810,1690,810,650,2474,29088,7200,11664,2520,5991,1830,4424,684629,73.43,99.61,96.25,71.97,25.85,2727,566.0,9.0,70.0,93.01,89.41,90.59,8.9,2847874,1773.7,2539.0,1983.4,95.34,86.31,63.66,98.54,89.0,64.51,97.62,86.57,65.85,97.76,89.35,66.62,97.59,90.8,65.65,74.94,82.16,1472501,367826,121809,83894,573529
Sumatera Selatan,2196.16,66.43,1922,4580,2810,3910,4739,61446,1463,26314,6200,15475,3150,8841,1844008,72.3,99.39,95.45,70.8,20.11,94884,452.0,23.0,99.0,94.82,88.72,90.94,8.57,4410213,1494.0,2268.6,1627.5,95.93,85.02,65.42,97.82,87.68,67.2,97.53,88.41,67.07,97.58,87.95,64.81,97.8,88.82,69.31,74.07,87.23,1289001,883181,359282,224907,1467370
Bengkulu,2032.04,60.58,3610,1210,520,800,1408,17697,4600,8794,1530,4406,1030,3041,552843,73.39,99.51,97.93,79.07,35.13,26115,185.0,338.0,92.0,95.83,88.05,90.62,9.04,1260200,1468.9,2177.2,1669.1,95.16,87.68,62.73,98.16,89.94,62.46,97.65,90.81,64.88,97.1,89.25,63.41,97.64,90.55,64.35,73.39,72.1,1415976,194713,85551,56495,336759
Lampung,2005.8,57.99,7620,1660,1180,510,4742,57654,1483,24336,5380,12524,4920,10669,2773343,71.81,99.5,96.07,72.35,22.53,9393,314.0,18.0,54.0,93.84,90.45,91.57,8.36,4263794,1416.1,2029.7,1247.7,97.69,86.66,57.59,98.33,89.46,60.09,98.41,90.99,62.42,98.67,87.67,64.54,98.53,89.54,65.98,82.58,84.51,1201473,797968,342821,181714,1322503
Kepulauan Bangka Belitung,1992.17,65.69,2150,320,120,280,8320,9824,2380,3903,770,1905,590,1716,168012,73.33,99.66,93.52,72.69,19.74,7858,44.0,,,93.09,90.77,92.14,8.33,1242119,1795.0,2126.7,1936.1,96.05,81.91,56.74,96.61,80.99,63.98,96.45,84.72,66.87,96.01,87.11,68.96,96.93,90.92,71.36,70.21,82.97,1793074,159654,64771,33268,257693
Kepulauan Riau,2050.02,67.05,2240,150,230,200,9880,14383,4240,6558,1780,3926,1060,258,239773,77.97,99.47,98.91,85.56,26.28,12496,72.0,,29.0,98.68,87.65,97.57,,1589019,1778.6,2284.8,2009.6,95.25,94.8,78.65,98.16,92.71,81.07,98.38,95.72,73.93,97.92,95.51,78.97,99.76,96.62,78.64,66.29,94.71,2109071,227824,102428,59762,390014
